iter	Passed	Remaining
212	6654	24589
213	6698	24602
214	6736	24596
215	6767	24563
216	6801	24543
217	6833	24513
218	6880	24535
219	6899	24460
220	6927	24418
221	6963	24403
222	6993	24368
223	7009	24284
224	7025	24198
225	7040	24110
226	7063	24053
227	7082	23982
228	7103	23915
229	7129	23868
230	7146	23790
231	7160	23703
232	7183	23645
233	7200	23569
234	7220	23505
235	7250	23472
236	7290	23471
237	7336	23487
238	7384	23512
239	7423	23508
240	7473	23535
241	7508	23518
242	7539	23486
243	7588	23511
244	7634	23527
245	7667	23500
246	7706	23493
247	7735	23456
248	7782	23471
249	7808	23425
250	7845	23410
251	7883	23398
252	7925	23401
253	7969	23405
254	8009	23400
255	8058	23420
256	8091	23392
257	8141	23414
258	8177	23395
259	8208	23363
260	8232	23308
261	8254	23252
262	8279	23200
263	8300	23142
264	8320	23076
265	8333	22994
266	8346	22914
267	8365	22849
268	8379	22771
269	8392	22690
270	8405	22609
271	8421	22539
272	8433	22457
273	8447	22383
274	8462	22310
275	8479	22243
276	8511	22215
277	8537	22172
278	8581	22175
279	8613	22150
280	8650	22134
281	8680	22100
282	8714	22078
283	8758	22080
284	8782	22033
285	8826	22035
286	8855	21999
287	8876	21943
288	8896	21886
289	8926	21855
290	8974	21865
291	8999	21820
292	9022	21770
293	9047	21725
294	9069	21675
295	9099	21642
296	9124	21598
297	9145	21544
298	9201	21572
299	9243	21568
300	9286	21566
301	9332	21570
302	9382	21582
303	9419	21566
304	9466	21572
305	9516	21584
306	9579	21624
307	9618	21609
308	9672	21629
309	9721	21638
310	9758	21619
311	9798	21607
312	9834	21586
313	9886	21598
314	9917	21565
315	9942	21520
316	9957	21453
317	9978	21400
318	9994	21336
319	10015	21282
320	10034	21226
321	10054	21170
322	10084	21136
323	10104	21082
324	10125	21029
325	10152	20990
326	10173	20937
327	10196	20890
328	10213	20830
329	10225	20761
330	10244	20706
331	10261	20646
332	10278	20587
333	10294	20527
334	10335	20517
335	10371	20495
336	10406	20473
337	10450	20467
338	10487	20449
339	10519	20420
340	10545	20380
341	10582	20360
342	10621	20345
343	10664	20336
344	10710	20334
345	10743	20307
346	10777	20281
347	10827	20285
348	10870	20277
349	10923	20286
350	10974	20291
351	11008	20264
352	11049	20252
353	11094	20246
354	11134	20230
355	11167	20201
356	11206	20183
357	11219	20120
358	11242	20073
359	11262	20021
360	11307	20015
361	11335	19977
362	11356	19929
363	11379	19882
364	11404	19841
365	11425	19791
366	11441	19733
367	11458	19677
368	11474	19620
369	11488	19561
370	11502	19501
371	11518	19444
372	11533	19387
373	11550	19332
374	11564	19273
375	11577	19213
376	11589	19151
377	11603	19093
378	11617	19036
379	11629	18974
380	11641	18913
381	11654	18855
382	11667	18796
383	11682	18739
384	11695	18682
385	11708	18623
386	11720	18564
387	11736	18511
388	11749	18455
389	11763	18398
390	11777	18343
391	11791	18288
392	11806	18235
393	11821	18182
394	11845	18143
395	11874	18111
396	11903	18080
397	11942	18063
398	11967	18026
399	11994	17991
400	12028	17968
401	12059	17939
402	12091	17912
403	12123	17885
404	12182	17897
405	12217	17874
406	12251	17851
407	12292	17836
408	12329	17815
409	12371	17802
410	12415	17793
411	12450	17769
412	12493	17756
413	12515	17715
414	12550	17691
415	12573	17651
416	12618	17641
417	12640	17600
418	12661	17556
419	12695	17531
420	12722	17497
421	12748	17461
422	12766	17413
423	12783	17366
424	12798	17316
425	12825	17281
426	12863	17262
427	12910	17254
428	12955	17244
429	12994	17224
430	13041	17216
431	13076	17193
432	13126	17189
433	13162	17166
434	13176	17113
435	13187	17059
436	13215	17025
437	13251	17002
438	13273	16962
439	13300	16927
440	13330	16897
441	13368	16876
442	13400	16848
443	13436	16825
444	13470	16799
445	13511	16783
446	13543	16755
447	13579	16731
448	13616	16710
449	13648	16681
450	13669	16639
451	13692	16600
452	13708	16553
453	13724	16505
454	13749	16469
455	13778	16437
456	13801	16398
457	13816	16350
458	13834	16305
459	13850	16259
460	13865	16211
461	13883	16167
462	13899	16120
463	13914	16073
464	13930	16026
465	13947	15983
466	13965	15939
467	13986	15899
468	14004	15855
469	14017	15806
470	14033	15761
471	14047	15713
472	14064	15670
473	14079	15623
474	14100	15584
475	14115	15538
476	14137	15500
477	14169	15473
478	14189	15433
479	14210	15394
480	14239	15364
481	14274	15341
482	14308	15315
483	14331	15278
484	14358	15246
485	14379	15208
486	14394	15163
487	14410	15119
488	14442	15091
489	14473	15064
490	14491	15023
491	14513	14985
492	14528	14940
493	14546	14899
494	14564	14858
495	14579	14814
496	14598	14774
497	14635	14752
498	14659	14718
499	14675	14675
500	14690	14632
501	14712	14595
502	14728	14552
503	14745	14511
504	14780	14487
505	14799	14448
506	14825	14416
507	14842	14374
508	14860	14335
509	14883	14299
510	14907	14265
511	14928	14228
512	14946	14188
513	14983	14167
514	15033	14157
515	15070	14136
516	15121	14126
517	15155	14102
518	15200	14087
519	15216	14046
520	15237	14009
521	15277	13989
522	15302	13956
523	15340	13934
524	15390	13924
525	15442	13915
526	15489	13901
527	15523	13876
528	15561	13855
529	15594	13828
530	15630	13805
531	15659	13775
532	15694	13751
533	15716	13715
534	15743	13683
535	15758	13641
536	15778	13604
537	15806	13574
538	15823	13533
539	15834	13488
540	15856	13452
541	15880	13419
542	15898	13380
543	15921	13345
544	15957	13321
545	15994	13299
546	16026	13272
547	16057	13244
548	16094	13221
549	16127	13194
550	16177	13182
551	16214	13159
552	16239	13126
553	16272	13100
554	16301	13070
555	16349	13056
556	16377	13025
557	16411	13000
558	16438	12968
559	16483	12951
560	16505	12915
561	16547	12896
562	16570	12862
563	16599	12832
564	16618	12794
565	16648	12765
566	16676	12735
567	16696	12698
568	16733	12674
569	16752	12638
570	16779	12606
571	16797	12569
572	16811	12527
573	16825	12487
574	16845	12451
575	16866	12415
576	16886	12379
577	16906	12343
578	16943	12320
579	16963	12284
580	16978	12244
581	16995	12206
582	17011	12167
583	17022	12125
584	17042	12090
585	17083	12069
586	17100	12031
587	17117	11993
588	17135	11957
589	17149	11917
590	17163	11877
591	17184	11843
592	17223	11820
593	17247	11788
594	17272	11756
595	17315	11737
596	17348	11710
597	17372	11678
598	17392	11643
599	17409	11606
600	17426	11569
601	17445	11533
602	17460	11495
603	17474	11456
604	17489	11418
605	17506	11381
606	17523	11345
607	17544	11311
608	17565	11277
609	17579	11239
610	17591	11199
611	17605	11161
612	17620	11123
613	17634	11086
614	17646	11046
615	17663	11011
616	17678	10973
617	17692	10935
618	17707	10898
619	17723	10862
620	17736	10824
621	17749	10786
622	17762	10748
623	17776	10711
624	17795	10677
625	17808	10639
626	17821	10602
627	17834	10564
628	17851	10529
629	17870	10495
630	17888	10460
631	17908	10427
632	17930	10395
633	17946	10360
634	17967	10327
635	17980	10290
636	17998	10256
637	18014	10221
638	18025	10183
639	18038	10146
640	18058	10114
641	18072	10077
642	18086	10041
643	18110	10011
644	18127	9976
645	18143	9942
646	18159	9907
647	18178	9874
648	18199	9843
649	18228	9815
650	18244	9780
651	18261	9746
652	18275	9711
653	18291	9677
654	18306	9642
655	18324	9609
656	18339	9574
657	18354	9539
658	18373	9507
659	18389	9473
660	18412	9443
661	18430	9410
662	18455	9380
663	18470	9346
664	18493	9316
665	18508	9282
666	18526	9249
667	18541	9215
668	18562	9184
669	18577	9150
670	18591	9115
671	18609	9083
672	18624	9049
673	18639	9015
674	18653	8981
675	18671	8949
676	18685	8915
677	18699	8880
678	18719	8849
679	18735	8816
680	18750	8783
681	18765	8749
682	18779	8716
683	18796	8683
684	18809	8649
685	18830	8619
686	18846	8586
687	18862	8554
688	18884	8524
689	18901	8491
690	18919	8460
691	18936	8428
692	18950	8394
693	18966	8362
694	18982	8330
695	18998	8298
696	19013	8265
697	19030	8233
698	19046	8201
699	19071	8173
700	19096	8145
701	19111	8112
702	19127	8080
703	19142	8048
704	19155	8015
705	19168	7982
706	19181	7949
707	19202	7919
708	19215	7886
709	19227	7853
710	19241	7821
711	19256	7789
712	19270	7756
713	19282	7723
714	19294	7690
715	19309	7659
716	19324	7627
717	19337	7594
718	19352	7563
719	19366	7531
720	19378	7498
721	19394	7467
722	19408	7436
723	19419	7403
724	19435	7372
725	19449	7340
726	19467	7310
727	19489	7281
728	19513	7254
729	19536	7225
730	19555	7196
731	19570	7165
732	19599	7139
733	19619	7110
734	19644	7082
735	19660	7052
736	19674	7020
737	19691	6990
738	19706	6959
739	19721	6929
740	19738	6899
741	19756	6869
742	19769	6838
743	19787	6808
744	19802	6777
745	19816	6747
746	19835	6717
747	19850	6687
748	19868	6658
749	19884	6628
750	19899	6597
751	19939	6575
752	19975	6552
753	20015	6530
754	20060	6509
755	20097	6486
756	20135	6463
757	20158	6435
758	20190	6410
759	20229	6388
760	20271	6366
761	20316	6345
762	20352	6321
763	20398	6301
764	20442	6279
765	20489	6259
766	20527	6235
767	20565	6212
768	20587	6184
769	20608	6155
770	20652	6134
771	20685	6109
772	20711	6082
773	20731	6053
774	20753	6025
775	20770	5995
776	20787	5966
777	20807	5937
778	20825	5908
779	20842	5878
780	20863	5850
781	20900	5826
782	20922	5798
783	20943	5770
784	20965	5742
785	21007	5719
786	21033	5692
787	21082	5671
788	21110	5645
789	21154	5623
790	21189	5598
791	21207	5569
792	21223	5539
793	21264	5516
794	21289	5489
795	21306	5460
796	21340	5435
797	21380	5412
798	21404	5384
799	21433	5358
800	21470	5334
801	21494	5306
802	21520	5279
803	21563	5256
804	21597	5231
805	21649	5210
806	21685	5186
807	21712	5159
808	21732	5130
809	21758	5103
810	21794	5079
811	21820	5051
812	21860	5028
813	21899	5003
814	21940	4980
815	21978	4956
816	22018	4931
817	22054	4907
818	22084	4880
819	22117	4855
820	22136	4826
821	22170	4800
822	22199	4774
823	22220	4746
824	22261	4722
825	22297	4697
826	22323	4669
827	22350	4642
828	22376	4615
829	22401	4588
830	22430	4561
831	22447	4532
832	22469	4504
833	22487	4475
834	22505	4447
835	22543	4422
836	22570	4395
837	22604	4369
838	22623	4341
839	22653	4314
840	22675	4286
841	22691	4258
842	22702	4228
843	22721	4199
844	22738	4170
845	22750	4141
846	22762	4111
847	22773	4082
848	22787	4052
849	22800	4023
850	22813	3994
851	22827	3965
852	22839	3935
853	22855	3907
854	22867	3878
855	22879	3848
856	22892	3819
857	22904	3790
858	22917	3761
859	22938	3734
860	22951	3705
861	22985	3679
862	23017	3653
863	23064	3630
864	23095	3604
865	23127	3578
866	23161	3553
867	23195	3527
868	23229	3501
869	23263	3476
870	23300	3450
871	23330	3424
872	23361	3398
873	23391	3372
874	23425	3346
875	23461	3321
876	23489	3294
877	23525	3268
878	23571	3244
879	23612	3219
880	23652	3194
881	23711	3172
882	23746	3146
883	23778	3120
884	23825	3096
885	23865	3070
886	23903	3045
887	23931	3018
888	23950	2990
889	23967	2962
890	23989	2934
891	24011	2907
892	24026	2878
893	24043	2850
894	24060	2822
895	24076	2794
896	24097	2767
897	24119	2739
898	24135	2711
899	24151	2683
900	24166	2655
901	24191	2628
902	24207	2600
903	24223	2572
904	24240	2544
905	24255	2516
906	24272	2488
907	24284	2460
908	24300	2432
909	24313	2404
910	24330	2376
911	24358	2350
912	24394	2324
913	24444	2300
914	24479	2274
915	24535	2249
916	24559	2222
917	24602	2197
918	24642	2171
919	24674	2145
920	24718	2120
921	24754	2094
922	24786	2067
923	24822	2041
924	24855	2015
925	24892	1989
926	24930	1963
927	24976	1937
928	25014	1911
929	25061	1886
930	25081	1858
931	25113	1832
932	25138	1805
933	25171	1778
934	25197	1751
935	25246	1726
936	25271	1699
937	25301	1672
938	25324	1645
939	25345	1617
940	25367	1590
941	25391	1563
942	25416	1536
943	25431	1508
944	25448	1481
945	25466	1453
946	25482	1426
947	25499	1398
948	25511	1371
949	25528	1343
950	25545	1316
951	25560	1288
952	25576	1261
953	25591	1233
954	25608	1206
955	25622	1179
956	25638	1151
957	25657	1124
958	25672	1097
959	25683	1070
960	25698	1042
961	25716	1015
962	25731	988
963	25749	961
964	25770	934
965	25790	907
966	25816	881
967	25865	855
968	25905	828
969	25940	802
970	25977	775
971	26026	749
972	26074	723
973	26106	696
974	26154	670
975	26189	644
976	26222	617
977	26263	590
978	26298	564
979	26338	537
980	26383	510
981	26435	484
982	26482	457
983	26516	431
984	26549	404
985	26587	377
986	26616	350
987	26665	323
988	26697	296
989	26715	269
990	26748	242
991	26779	215
992	26805	188
993	26829	161
994	26849	134
995	26862	107
996	26874	80
997	26893	53
998	26907	26
999	26919	0
